home_team,away_team,home_score,away_score,tournament,city,country,neutral,year,Total goals in a match
Italy,Argentina,1,1,FIFA World Cup,Naples,Italy,False,1990,2
Germany,England,1,1,FIFA World Cup,Turin,Italy,True,1990,2
Italy,England,2,1,FIFA World Cup,Bari,Italy,False,1990,3
Germany,Argentina,1,0,FIFA World Cup,Rome,Italy,True,1990,1
Germany,Bolivia,1,0,FIFA World Cup,Chicago,United States,True,1994,1
Spain,South Korea,2,2,FIFA World Cup,Dallas,United States,True,1994,4
Colombia,Romania,1,3,FIFA World Cup,Pasadena,United States,True,1994,4
Italy,Republic of Ireland,0,1,FIFA World Cup,East Rutherford,United States,True,1994,1
United States,Switzerland,1,1,FIFA World Cup,Pontiac,United States,False,1994,2
Belgium,Morocco,1,0,FIFA World Cup,Orlando,United States,True,1994,1
Cameroon,Sweden,2,2,FIFA World Cup,Pasadena,United States,True,1994,4
Norway,Mexico,1,0,FIFA World Cup,Washington,United States,True,1994,1
Brazil,Russia,2,0,FIFA World Cup,Palo Alto,United States,True,1994,2
Netherlands,Saudi Arabia,2,1,FIFA World Cup,Washington,United States,True,1994,3
Argentina,Greece,4,0,FIFA World Cup,Foxborough,United States,True,1994,4
Germany,Spain,1,1,FIFA World Cup,Chicago,United States,True,1994,2
Nigeria,Bulgaria,3,0,FIFA World Cup,Dallas,United States,True,1994,3
Romania,Switzerland,1,4,FIFA World Cup,Pontiac,United States,True,1994,5
United States,Colombia,2,1,FIFA World Cup,Pasadena,United States,False,1994,3
Italy,Norway,1,0,FIFA World Cup,East Rutherford,United States,True,1994,1
South Korea,Bolivia,0,0,FIFA World Cup,Foxborough,United States,True,1994,0
Brazil,Cameroon,3,0,FIFA World Cup,Palo Alto,United States,True,1994,3
Mexico,Republic of Ireland,2,1,FIFA World Cup,Orlando,United States,True,1994,3
Sweden,Russia,3,1,FIFA World Cup,Pontiac,United States,True,1994,4
Argentina,Nigeria,2,1,FIFA World Cup,Foxborough,United States,True,1994,3
Belgium,Netherlands,1,0,FIFA World Cup,Orlando,United States,True,1994,1
Saudi Arabia,Morocco,2,1,FIFA World Cup,East Rutherford,United States,True,1994,3
Bulgaria,Greece,4,0,FIFA World Cup,Chicago,United States,True,1994,4
Switzerland,Colombia,0,2,FIFA World Cup,Palo Alto,United States,True,1994,2
United States,Romania,0,1,FIFA World Cup,Pasadena,United States,False,1994,1
Bolivia,Spain,1,3,FIFA World Cup,Chicago,United States,True,1994,4
Germany,South Korea,3,2,FIFA World Cup,Dallas,United States,True,1994,5
Brazil,Sweden,1,1,FIFA World Cup,Pontiac,United States,True,1994,2
Republic of Ireland,Norway,0,0,FIFA World Cup,East Rutherford,United States,True,1994,0
Italy,Mexico,1,1,FIFA World Cup,Washington,United States,True,1994,2
Russia,Cameroon,6,1,FIFA World Cup,Palo Alto,United States,True,1994,7
Belgium,Saudi Arabia,0,1,FIFA World Cup,Washington,United States,True,1994,1
Morocco,Netherlands,1,2,FIFA World Cup,Orlando,United States,True,1994,3
Argentina,Bulgaria,0,2,FIFA World Cup,Dallas,United States,True,1994,2
Greece,Nigeria,0,2,FIFA World Cup,Foxborough,United States,True,1994,2
Germany,Belgium,3,2,FIFA World Cup,Chicago,United States,True,1994,5
Spain,Switzerland,3,0,FIFA World Cup,Washington,United States,True,1994,3
Romania,Argentina,3,2,FIFA World Cup,Pasadena,United States,True,1994,5
Saudi Arabia,Sweden,1,3,FIFA World Cup,Dallas,United States,True,1994,4
Netherlands,Republic of Ireland,2,0,FIFA World Cup,Orlando,United States,True,1994,2
United States,Brazil,0,1,FIFA World Cup,Palo Alto,United States,False,1994,1
Mexico,Bulgaria,1,1,FIFA World Cup,East Rutherford,United States,True,1994,2
Nigeria,Italy,1,2,FIFA World Cup,Foxborough,United States,True,1994,3
Italy,Spain,2,1,FIFA World Cup,Foxborough,United States,True,1994,3
Netherlands,Brazil,2,3,FIFA World Cup,Dallas,United States,True,1994,5
Bulgaria,Germany,2,1,FIFA World Cup,East Rutherford,United States,True,1994,3
Romania,Sweden,2,2,FIFA World Cup,Palo Alto,United States,True,1994,4
Bulgaria,Italy,1,2,FIFA World Cup,East Rutherford,United States,True,1994,3
Sweden,Brazil,0,1,FIFA World Cup,Pasadena,United States,True,1994,1
Sweden,Bulgaria,4,0,FIFA World Cup,Pasadena,United States,True,1994,4
Brazil,Italy,0,0,FIFA World Cup,Pasadena,United States,True,1994,0
Brazil,Scotland,2,1,FIFA World Cup,Saint-Denis,France,True,1998,3
Morocco,Norway,2,2,FIFA World Cup,Montpellier,France,True,1998,4
Cameroon,Austria,1,1,FIFA World Cup,Toulouse,France,True,1998,2
Italy,Chile,2,2,FIFA World Cup,Bordeaux,France,True,1998,4
France,South Africa,3,0,FIFA World Cup,Marseille,France,False,1998,3
Paraguay,Bulgaria,0,0,FIFA World Cup,Montpellier,France,True,1998,0
Saudi Arabia,Denmark,0,1,FIFA World Cup,Lens,France,True,1998,1
South Korea,Mexico,1,3,FIFA World Cup,Lyon,France,True,1998,4
Netherlands,Belgium,0,0,FIFA World Cup,Saint-Denis,France,True,1998,0
Spain,Nigeria,2,3,FIFA World Cup,Nantes,France,True,1998,5
Argentina,Japan,1,0,FIFA World Cup,Toulouse,France,True,1998,1
Jamaica,Croatia,1,3,FIFA World Cup,Lens,France,True,1998,4
Serbia,Iran,1,0,FIFA World Cup,Saint-Étienne,France,True,1998,1
England,Tunisia,2,0,FIFA World Cup,Marseille,France,True,1998,2
Germany,United States,2,0,FIFA World Cup,Paris,France,True,1998,2
Romania,Colombia,1,0,FIFA World Cup,Lyon,France,True,1998,1
Brazil,Morocco,3,0,FIFA World Cup,Nantes,France,True,1998,3
Scotland,Norway,1,1,FIFA World Cup,Bordeaux,France,True,1998,2
Chile,Austria,1,1,FIFA World Cup,Saint-Étienne,France,True,1998,2
Italy,Cameroon,3,0,FIFA World Cup,Montpellier,France,True,1998,3
France,Saudi Arabia,4,0,FIFA World Cup,Saint-Denis,France,False,1998,4
South Africa,Denmark,1,1,FIFA World Cup,Toulouse,France,True,1998,2
Nigeria,Bulgaria,1,0,FIFA World Cup,Paris,France,True,1998,1
Spain,Paraguay,0,0,FIFA World Cup,Saint-Étienne,France,True,1998,0
Belgium,Mexico,2,2,FIFA World Cup,Bordeaux,France,True,1998,4
Japan,Croatia,0,1,FIFA World Cup,Nantes,France,True,1998,1
Netherlands,South Korea,5,0,FIFA World Cup,Marseille,France,True,1998,5
Argentina,Jamaica,5,0,FIFA World Cup,Paris,France,True,1998,5
Germany,Serbia,2,2,FIFA World Cup,Lens,France,True,1998,4
United States,Iran,1,2,FIFA World Cup,Lyon,France,True,1998,3
Colombia,Tunisia,1,0,FIFA World Cup,Montpellier,France,True,1998,1
Romania,England,2,1,FIFA World Cup,Toulouse,France,True,1998,3
Brazil,Norway,1,2,FIFA World Cup,Marseille,France,True,1998,3
Chile,Cameroon,1,1,FIFA World Cup,Nantes,France,True,1998,2
Italy,Austria,2,1,FIFA World Cup,Saint-Denis,France,True,1998,3
Scotland,Morocco,0,3,FIFA World Cup,Saint-Étienne,France,True,1998,3
France,Denmark,2,1,FIFA World Cup,Lyon,France,False,1998,3
Nigeria,Paraguay,1,3,FIFA World Cup,Toulouse,France,True,1998,4
South Africa,Saudi Arabia,2,2,FIFA World Cup,Bordeaux,France,True,1998,4
Spain,Bulgaria,6,1,FIFA World Cup,Lens,France,True,1998,7
Belgium,South Korea,1,1,FIFA World Cup,Paris,France,True,1998,2
Germany,Iran,2,0,FIFA World Cup,Montpellier,France,True,1998,2
Netherlands,Mexico,2,2,FIFA World Cup,Saint-Étienne,France,True,1998,4
United States,Serbia,0,1,FIFA World Cup,Nantes,France,True,1998,1
Argentina,Croatia,1,0,FIFA World Cup,Bordeaux,France,True,1998,1
Colombia,England,0,2,FIFA World Cup,Lens,France,True,1998,2
Japan,Jamaica,1,2,FIFA World Cup,Lyon,France,True,1998,3
Romania,Tunisia,1,1,FIFA World Cup,Saint-Denis,France,True,1998,2
Brazil,Chile,4,1,FIFA World Cup,Paris,France,True,1998,5
Italy,Norway,1,0,FIFA World Cup,Marseille,France,True,1998,1
France,Paraguay,1,0,FIFA World Cup,Lens,France,False,1998,1
Nigeria,Denmark,1,4,FIFA World Cup,Saint-Denis,France,True,1998,5
Germany,Mexico,2,1,FIFA World Cup,Montpellier,France,True,1998,3
Netherlands,Serbia,2,1,FIFA World Cup,Toulouse,France,True,1998,3
Argentina,England,2,2,FIFA World Cup,Saint-Étienne,France,True,1998,4
Romania,Croatia,0,1,FIFA World Cup,Bordeaux,France,True,1998,1
Brazil,Denmark,3,2,FIFA World Cup,Nantes,France,True,1998,5
France,Italy,0,0,FIFA World Cup,Saint-Denis,France,False,1998,0
Germany,Croatia,0,3,FIFA World Cup,Lyon,France,True,1998,3
Netherlands,Argentina,2,1,FIFA World Cup,Marseille,France,True,1998,3
Brazil,Netherlands,1,1,FIFA World Cup,Marseille,France,True,1998,2
France,Croatia,2,1,FIFA World Cup,Saint-Denis,France,False,1998,3
Netherlands,Croatia,1,2,FIFA World Cup,Paris,France,True,1998,3
France,Brazil,3,0,FIFA World Cup,Saint-Denis,France,False,1998,3
France,Senegal,0,1,FIFA World Cup,Seoul,South Korea,True,2002,1
Germany,Saudi Arabia,8,0,FIFA World Cup,Sapporo,Japan,True,2002,8
Republic of Ireland,Cameroon,1,1,FIFA World Cup,Niigata,Japan,True,2002,2
Uruguay,Denmark,1,2,FIFA World Cup,Ulsan,South Korea,True,2002,3
Argentina,Nigeria,1,0,FIFA World Cup,Kashima,Japan,True,2002,1
England,Sweden,1,1,FIFA World Cup,Saitama,Japan,True,2002,2
Paraguay,South Africa,2,2,FIFA World Cup,Busan,South Korea,True,2002,4
Spain,Slovenia,3,1,FIFA World Cup,Gwangju,South Korea,True,2002,4
Brazil,Turkey,2,1,FIFA World Cup,Ulsan,South Korea,True,2002,3
Croatia,Mexico,0,1,FIFA World Cup,Niigata,Japan,True,2002,1
Italy,Ecuador,2,0,FIFA World Cup,Sapporo,Japan,True,2002,2
China PR,Costa Rica,0,2,FIFA World Cup,Gwangju,South Korea,True,2002,2
Japan,Belgium,2,2,FIFA World Cup,Saitama,Japan,False,2002,4
South Korea,Poland,2,0,FIFA World Cup,Busan,South Korea,False,2002,2
Germany,Republic of Ireland,1,1,FIFA World Cup,Kashima,Japan,True,2002,2
Russia,Tunisia,2,0,FIFA World Cup,Kobe,Japan,True,2002,2
United States,Portugal,3,2,FIFA World Cup,Suwon,South Korea,True,2002,5
Cameroon,Saudi Arabia,1,0,FIFA World Cup,Saitama,Japan,True,2002,1
Denmark,Senegal,1,1,FIFA World Cup,Daegu,South Korea,True,2002,2
France,Uruguay,0,0,FIFA World Cup,Busan,South Korea,True,2002,0
Argentina,England,0,1,FIFA World Cup,Sapporo,Japan,True,2002,1
Spain,Paraguay,3,1,FIFA World Cup,Jeonju,South Korea,True,2002,4
Sweden,Nigeria,2,1,FIFA World Cup,Kobe,Japan,True,2002,3
Brazil,China PR,4,0,FIFA World Cup,Seogwipo,South Korea,True,2002,4
Italy,Croatia,1,2,FIFA World Cup,Kashima,Japan,True,2002,3
South Africa,Slovenia,1,0,FIFA World Cup,Daegu,South Korea,True,2002,1
Costa Rica,Turkey,1,1,FIFA World Cup,Incheon,South Korea,True,2002,2
Japan,Russia,1,0,FIFA World Cup,Yokohama,Japan,False,2002,1
Mexico,Ecuador,2,1,FIFA World Cup,Rifu,Japan,True,2002,3
South Korea,United States,1,1,FIFA World Cup,Daegu,South Korea,False,2002,2
Portugal,Poland,4,0,FIFA World Cup,Jeonju,South Korea,True,2002,4
Tunisia,Belgium,1,1,FIFA World Cup,Ōita,Japan,True,2002,2
Cameroon,Germany,0,2,FIFA World Cup,Fukuroi,Japan,True,2002,2
Denmark,France,2,0,FIFA World Cup,Incheon,South Korea,True,2002,2
Saudi Arabia,Republic of Ireland,0,3,FIFA World Cup,Yokohama,Japan,True,2002,3
Senegal,Uruguay,3,3,FIFA World Cup,Suwon,South Korea,True,2002,6
Nigeria,England,0,0,FIFA World Cup,Osaka,Japan,True,2002,0
Slovenia,Paraguay,1,3,FIFA World Cup,Seogwipo,South Korea,True,2002,4
South Africa,Spain,2,3,FIFA World Cup,Daejeon,South Korea,True,2002,5
Sweden,Argentina,1,1,FIFA World Cup,Rifu,Japan,True,2002,2
Costa Rica,Brazil,2,5,FIFA World Cup,Suwon,South Korea,True,2002,7
Ecuador,Croatia,1,0,FIFA World Cup,Yokohama,Japan,True,2002,1
Mexico,Italy,1,1,FIFA World Cup,Ōita,Japan,True,2002,2
Turkey,China PR,3,0,FIFA World Cup,Seoul,South Korea,True,2002,3
Belgium,Russia,3,2,FIFA World Cup,Fukuroi,Japan,True,2002,5
Japan,Tunisia,2,0,FIFA World Cup,Osaka,Japan,False,2002,2
South Korea,Portugal,1,0,FIFA World Cup,Incheon,South Korea,False,2002,1
Poland,United States,3,1,FIFA World Cup,Daejeon,South Korea,True,2002,4
Denmark,England,0,3,FIFA World Cup,Niigata,Japan,True,2002,3
Germany,Paraguay,1,0,FIFA World Cup,Seogwipo,South Korea,True,2002,1
Spain,Republic of Ireland,1,1,FIFA World Cup,Suwon,South Korea,True,2002,2
Sweden,Senegal,1,2,FIFA World Cup,Ōita,Japan,True,2002,3
Brazil,Belgium,2,0,FIFA World Cup,Kobe,Japan,True,2002,2
Mexico,United States,0,2,FIFA World Cup,Jeonju,South Korea,True,2002,2
Japan,Turkey,0,1,FIFA World Cup,Rifu,Japan,False,2002,1
South Korea,Italy,2,1,FIFA World Cup,Daejeon,South Korea,False,2002,3
England,Brazil,1,2,FIFA World Cup,Fukuroi,Japan,True,2002,3
Germany,United States,1,0,FIFA World Cup,Ulsan,South Korea,True,2002,1
South Korea,Spain,0,0,FIFA World Cup,Gwangju,South Korea,False,2002,0
Senegal,Turkey,0,1,FIFA World Cup,Osaka,Japan,True,2002,1
South Korea,Germany,0,1,FIFA World Cup,Seoul,South Korea,False,2002,1
Brazil,Turkey,1,0,FIFA World Cup,Saitama,Japan,True,2002,1
South Korea,Turkey,2,3,FIFA World Cup,Daegu,South Korea,False,2002,5
Germany,Brazil,0,2,FIFA World Cup,Yokohama,Japan,True,2002,2
Germany,Costa Rica,4,2,FIFA World Cup,Munich,Germany,False,2006,6
Poland,Ecuador,0,2,FIFA World Cup,Gelsenkirchen,Germany,True,2006,2
Argentina,Ivory Coast,2,1,FIFA World Cup,Hamburg,Germany,True,2006,3
England,Paraguay,1,0,FIFA World Cup,Frankfurt am Main,Germany,True,2006,1
Trinidad and Tobago,Sweden,0,0,FIFA World Cup,Dortmund,Germany,True,2006,0
Angola,Portugal,0,1,FIFA World Cup,Cologne,Germany,True,2006,1
Mexico,Iran,3,1,FIFA World Cup,Nuremberg,Germany,True,2006,4
Serbia,Netherlands,0,1,FIFA World Cup,Leipzig,Germany,True,2006,1
Australia,Japan,3,1,FIFA World Cup,Kaiserslautern,Germany,True,2006,4
Italy,Ghana,2,0,FIFA World Cup,Hanover,Germany,True,2006,2
United States,Czech Republic,0,3,FIFA World Cup,Gelsenkirchen,Germany,True,2006,3
Brazil,Croatia,1,0,FIFA World Cup,Berlin,Germany,True,2006,1
France,Switzerland,0,0,FIFA World Cup,Stuttgart,Germany,True,2006,0
South Korea,Togo,2,1,FIFA World Cup,Frankfurt am Main,Germany,True,2006,3
Germany,Poland,1,0,FIFA World Cup,Dortmund,Germany,False,2006,1
Spain,Ukraine,4,0,FIFA World Cup,Leipzig,Germany,True,2006,4
Tunisia,Saudi Arabia,2,2,FIFA World Cup,Munich,Germany,True,2006,4
Ecuador,Costa Rica,3,0,FIFA World Cup,Hamburg,Germany,True,2006,3
England,Trinidad and Tobago,2,0,FIFA World Cup,Nuremberg,Germany,True,2006,2
Sweden,Paraguay,1,0,FIFA World Cup,Berlin,Germany,True,2006,1
Argentina,Serbia,6,0,FIFA World Cup,Gelsenkirchen,Germany,True,2006,6
Mexico,Angola,0,0,FIFA World Cup,Hanover,Germany,True,2006,0
Netherlands,Ivory Coast,2,1,FIFA World Cup,Stuttgart,Germany,True,2006,3
Czech Republic,Ghana,0,2,FIFA World Cup,Cologne,Germany,True,2006,2
Italy,United States,1,1,FIFA World Cup,Kaiserslautern,Germany,True,2006,2
Portugal,Iran,2,0,FIFA World Cup,Frankfurt am Main,Germany,True,2006,2
Brazil,Australia,2,0,FIFA World Cup,Munich,Germany,True,2006,2
France,South Korea,1,1,FIFA World Cup,Leipzig,Germany,True,2006,2
Japan,Croatia,0,0,FIFA World Cup,Nuremberg,Germany,True,2006,0
Saudi Arabia,Ukraine,0,4,FIFA World Cup,Hamburg,Germany,True,2006,4
Spain,Tunisia,3,1,FIFA World Cup,Stuttgart,Germany,True,2006,4
Togo,Switzerland,0,2,FIFA World Cup,Dortmund,Germany,True,2006,2
Costa Rica,Poland,1,2,FIFA World Cup,Hanover,Germany,True,2006,3
Germany,Ecuador,3,0,FIFA World Cup,Berlin,Germany,False,2006,3
Paraguay,Trinidad and Tobago,2,0,FIFA World Cup,Kaiserslautern,Germany,True,2006,2
Sweden,England,2,2,FIFA World Cup,Cologne,Germany,True,2006,4
Iran,Angola,1,1,FIFA World Cup,Leipzig,Germany,True,2006,2
Ivory Coast,Serbia,3,2,FIFA World Cup,Munich,Germany,True,2006,5
Netherlands,Argentina,0,0,FIFA World Cup,Frankfurt am Main,Germany,True,2006,0
Portugal,Mexico,2,1,FIFA World Cup,Gelsenkirchen,Germany,True,2006,3
Croatia,Australia,2,2,FIFA World Cup,Stuttgart,Germany,True,2006,4
Czech Republic,Italy,0,2,FIFA World Cup,Hamburg,Germany,True,2006,2
Ghana,United States,2,1,FIFA World Cup,Nuremberg,Germany,True,2006,3
Japan,Brazil,1,4,FIFA World Cup,Dortmund,Germany,True,2006,5
Saudi Arabia,Spain,0,1,FIFA World Cup,Kaiserslautern,Germany,True,2006,1
Switzerland,South Korea,2,0,FIFA World Cup,Hanover,Germany,True,2006,2
Togo,France,0,2,FIFA World Cup,Cologne,Germany,True,2006,2
Ukraine,Tunisia,1,0,FIFA World Cup,Berlin,Germany,True,2006,1
Argentina,Mexico,2,1,FIFA World Cup,Leipzig,Germany,True,2006,3
Germany,Sweden,2,0,FIFA World Cup,Munich,Germany,False,2006,2
England,Ecuador,1,0,FIFA World Cup,Stuttgart,Germany,True,2006,1
Portugal,Netherlands,1,0,FIFA World Cup,Nuremberg,Germany,True,2006,1
Italy,Australia,1,0,FIFA World Cup,Kaiserslautern,Germany,True,2006,1
Switzerland,Ukraine,0,0,FIFA World Cup,Cologne,Germany,True,2006,0
Brazil,Ghana,3,0,FIFA World Cup,Dortmund,Germany,True,2006,3
Spain,France,1,3,FIFA World Cup,Hanover,Germany,True,2006,4
Germany,Argentina,1,1,FIFA World Cup,Berlin,Germany,False,2006,2
Italy,Ukraine,3,0,FIFA World Cup,Hamburg,Germany,True,2006,3
Brazil,France,0,1,FIFA World Cup,Frankfurt am Main,Germany,True,2006,1
England,Portugal,0,0,FIFA World Cup,Gelsenkirchen,Germany,True,2006,0
Germany,Italy,0,2,FIFA World Cup,Dortmund,Germany,False,2006,2
Portugal,France,0,1,FIFA World Cup,Munich,Germany,True,2006,1
Germany,Portugal,3,1,FIFA World Cup,Stuttgart,Germany,False,2006,4
Italy,France,1,1,FIFA World Cup,Berlin,Germany,True,2006,2
South Africa,Mexico,1,1,FIFA World Cup,Johannesburg,South Africa,False,2010,2
Uruguay,France,0,0,FIFA World Cup,Cape Town,South Africa,True,2010,0
Argentina,Nigeria,1,0,FIFA World Cup,Johannesburg,South Africa,True,2010,1
England,United States,1,1,FIFA World Cup,Rustenburg,South Africa,True,2010,2
South Korea,Greece,2,0,FIFA World Cup,Port Elizabeth,South Africa,True,2010,2
Algeria,Slovenia,0,1,FIFA World Cup,Polokwane,South Africa,True,2010,1
Germany,Australia,4,0,FIFA World Cup,Durban,South Africa,True,2010,4
Serbia,Ghana,0,1,FIFA World Cup,Pretoria,South Africa,True,2010,1
Italy,Paraguay,1,1,FIFA World Cup,Cape Town,South Africa,True,2010,2
Japan,Cameroon,1,0,FIFA World Cup,Bloemfontein,South Africa,True,2010,1
Netherlands,Denmark,2,0,FIFA World Cup,Johannesburg,South Africa,True,2010,2
Brazil,North Korea,2,1,FIFA World Cup,Johannesburg,South Africa,True,2010,3
Ivory Coast,Portugal,0,0,FIFA World Cup,Port Elizabeth,South Africa,True,2010,0
New Zealand,Slovakia,1,1,FIFA World Cup,Rustenburg,South Africa,True,2010,2
Honduras,Chile,0,1,FIFA World Cup,Nelspruit,South Africa,True,2010,1
South Africa,Uruguay,0,3,FIFA World Cup,Pretoria,South Africa,False,2010,3
Spain,Switzerland,0,1,FIFA World Cup,Durban,South Africa,True,2010,1
Argentina,South Korea,4,1,FIFA World Cup,Johannesburg,South Africa,True,2010,5
France,Mexico,0,2,FIFA World Cup,Polokwane,South Africa,True,2010,2
Greece,Nigeria,2,1,FIFA World Cup,Bloemfontein,South Africa,True,2010,3
England,Algeria,0,0,FIFA World Cup,Cape Town,South Africa,True,2010,0
Germany,Serbia,0,1,FIFA World Cup,Port Elizabeth,South Africa,True,2010,1
Slovenia,United States,2,2,FIFA World Cup,Johannesburg,South Africa,True,2010,4
Cameroon,Denmark,1,2,FIFA World Cup,Pretoria,South Africa,True,2010,3
Ghana,Australia,1,1,FIFA World Cup,Rustenburg,South Africa,True,2010,2
Netherlands,Japan,1,0,FIFA World Cup,Durban,South Africa,True,2010,1
Brazil,Ivory Coast,3,1,FIFA World Cup,Johannesburg,South Africa,True,2010,4
Italy,New Zealand,1,1,FIFA World Cup,Nelspruit,South Africa,True,2010,2
Slovakia,Paraguay,0,2,FIFA World Cup,Bloemfontein,South Africa,True,2010,2
Chile,Switzerland,1,0,FIFA World Cup,Port Elizabeth,South Africa,True,2010,1
Portugal,North Korea,7,0,FIFA World Cup,Cape Town,South Africa,True,2010,7
Spain,Honduras,2,0,FIFA World Cup,Johannesburg,South Africa,True,2010,2
Greece,Argentina,0,2,FIFA World Cup,Polokwane,South Africa,True,2010,2
Mexico,Uruguay,0,1,FIFA World Cup,Rustenburg,South Africa,True,2010,1
Nigeria,South Korea,2,2,FIFA World Cup,Durban,South Africa,True,2010,4
South Africa,France,2,1,FIFA World Cup,Bloemfontein,South Africa,False,2010,3
Australia,Serbia,2,1,FIFA World Cup,Nelspruit,South Africa,True,2010,3
Ghana,Germany,0,1,FIFA World Cup,Johannesburg,South Africa,True,2010,1
Slovenia,England,0,1,FIFA World Cup,Port Elizabeth,South Africa,True,2010,1
United States,Algeria,1,0,FIFA World Cup,Pretoria,South Africa,True,2010,1
Cameroon,Netherlands,1,2,FIFA World Cup,Cape Town,South Africa,True,2010,3
Denmark,Japan,1,3,FIFA World Cup,Rustenburg,South Africa,True,2010,4
Paraguay,New Zealand,0,0,FIFA World Cup,Polokwane,South Africa,True,2010,0
Slovakia,Italy,3,2,FIFA World Cup,Johannesburg,South Africa,True,2010,5
Chile,Spain,1,2,FIFA World Cup,Pretoria,South Africa,True,2010,3
North Korea,Ivory Coast,0,3,FIFA World Cup,Nelspruit,South Africa,True,2010,3
Portugal,Brazil,0,0,FIFA World Cup,Durban,South Africa,True,2010,0
Switzerland,Honduras,0,0,FIFA World Cup,Bloemfontein,South Africa,True,2010,0
Uruguay,South Korea,2,1,FIFA World Cup,Port Elizabeth,South Africa,True,2010,3
United States,Ghana,1,2,FIFA World Cup,Rustenburg,South Africa,True,2010,3
Argentina,Mexico,3,1,FIFA World Cup,Johannesburg,South Africa,True,2010,4
Germany,England,4,1,FIFA World Cup,Bloemfontein,South Africa,True,2010,5
Brazil,Chile,3,0,FIFA World Cup,Johannesburg,South Africa,True,2010,3
Netherlands,Slovakia,2,1,FIFA World Cup,Durban,South Africa,True,2010,3
Paraguay,Japan,0,0,FIFA World Cup,Pretoria,South Africa,True,2010,0
Spain,Portugal,1,0,FIFA World Cup,Cape Town,South Africa,True,2010,1
Netherlands,Brazil,2,1,FIFA World Cup,Port Elizabeth,South Africa,True,2010,3
Uruguay,Ghana,1,1,FIFA World Cup,Johannesburg,South Africa,True,2010,2
Argentina,Germany,0,4,FIFA World Cup,Cape Town,South Africa,True,2010,4
Paraguay,Spain,0,1,FIFA World Cup,Johannesburg,South Africa,True,2010,1
Uruguay,Netherlands,2,3,FIFA World Cup,Cape Town,South Africa,True,2010,5
Germany,Spain,0,1,FIFA World Cup,Durban,South Africa,True,2010,1
Uruguay,Germany,2,3,FIFA World Cup,Port Elizabeth,South Africa,True,2010,5
Netherlands,Spain,0,1,FIFA World Cup,Johannesburg,South Africa,True,2010,1
Brazil,Croatia,3,1,FIFA World Cup,São Paulo,Brazil,False,2014,4
Chile,Australia,3,1,FIFA World Cup,Cuiabá,Brazil,True,2014,4
Mexico,Cameroon,1,0,FIFA World Cup,Natal,Brazil,True,2014,1
Spain,Netherlands,1,5,FIFA World Cup,Salvador,Brazil,True,2014,6
Colombia,Greece,3,0,FIFA World Cup,Belo Horizonte,Brazil,True,2014,3
England,Italy,1,2,FIFA World Cup,Manaus,Brazil,True,2014,3
Ivory Coast,Japan,2,1,FIFA World Cup,Recife,Brazil,True,2014,3
Uruguay,Costa Rica,1,3,FIFA World Cup,Fortaleza,Brazil,True,2014,4
Argentina,Bosnia and Herzegovina,2,1,FIFA World Cup,Rio de Janeiro,Brazil,True,2014,3
France,Honduras,3,0,FIFA World Cup,Porto Alegre,Brazil,True,2014,3
Switzerland,Ecuador,2,1,FIFA World Cup,Brasília,Brazil,True,2014,3
Germany,Portugal,4,0,FIFA World Cup,Salvador,Brazil,True,2014,4
Ghana,United States,1,2,FIFA World Cup,Natal,Brazil,True,2014,3
Iran,Nigeria,0,0,FIFA World Cup,Curitiba,Brazil,True,2014,0
Belgium,Algeria,2,1,FIFA World Cup,Belo Horizonte,Brazil,True,2014,3
Brazil,Mexico,0,0,FIFA World Cup,Fortaleza,Brazil,False,2014,0
Russia,South Korea,1,1,FIFA World Cup,Cuiabá,Brazil,True,2014,2
Australia,Netherlands,2,3,FIFA World Cup,Curitiba,Brazil,True,2014,5
Cameroon,Croatia,0,4,FIFA World Cup,Manaus,Brazil,True,2014,4
Spain,Chile,0,2,FIFA World Cup,Rio de Janeiro,Brazil,True,2014,2
Colombia,Ivory Coast,2,1,FIFA World Cup,Brasília,Brazil,True,2014,3
Japan,Greece,0,0,FIFA World Cup,Natal,Brazil,True,2014,0
Uruguay,England,2,1,FIFA World Cup,São Paulo,Brazil,True,2014,3
Honduras,Ecuador,1,2,FIFA World Cup,Curitiba,Brazil,True,2014,3
Italy,Costa Rica,0,1,FIFA World Cup,Recife,Brazil,True,2014,1
Switzerland,France,2,5,FIFA World Cup,Salvador,Brazil,True,2014,7
Argentina,Iran,1,0,FIFA World Cup,Belo Horizonte,Brazil,True,2014,1
Germany,Ghana,2,2,FIFA World Cup,Fortaleza,Brazil,True,2014,4
Nigeria,Bosnia and Herzegovina,1,0,FIFA World Cup,Cuiabá,Brazil,True,2014,1
Belgium,Russia,1,0,FIFA World Cup,Rio de Janeiro,Brazil,True,2014,1
South Korea,Algeria,2,4,FIFA World Cup,Porto Alegre,Brazil,True,2014,6
United States,Portugal,2,2,FIFA World Cup,Manaus,Brazil,True,2014,4
Australia,Spain,0,3,FIFA World Cup,Curitiba,Brazil,True,2014,3
Brazil,Cameroon,4,1,FIFA World Cup,Brasília,Brazil,False,2014,5
Croatia,Mexico,1,3,FIFA World Cup,Recife,Brazil,True,2014,4
Netherlands,Chile,2,0,FIFA World Cup,São Paulo,Brazil,True,2014,2
Costa Rica,England,0,0,FIFA World Cup,Belo Horizonte,Brazil,True,2014,0
Greece,Ivory Coast,2,1,FIFA World Cup,Fortaleza,Brazil,True,2014,3
